id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_living15,sqft_lot15
3303700376,667000.0,3,1.0,1400,1581,1.5,NO,Very Good,8 Good,1400,1860,3861
5101402488,438000.0,3,1.75,1520,6380,1.0,NO,Average,7 Average,790,1520,6235
1873100390,719000.0,4,2.5,2570,7173,2.0,NO,Average,8 Good,2570,2630,6026
8562750320,580500.0,3,2.5,2320,3980,2.0,NO,Average,8 Good,2320,2580,3980
2426039314,280000.0,2,1.5,1190,1265,3.0,NO,Average,7 Average,1190,1390,1756
461000390,687500.0,4,1.75,2330,5000,1.5,NO,Good,7 Average,1510,1460,5000
7589200193,535000.0,3,1.0,1090,3000,1.5,NO,Good,8 Good,1090,1570,5080
7955080270,322500.0,4,2.75,2060,6659,1.0,NO,Average,7 Average,1280,2020,8720
9547205180,696000.0,3,2.5,2300,3060,1.5,NO,Average,8 Good,1510,1590,3264
9435300030,550000.0,4,1.0,1660,34848,1.0,NO,Poor,5 Fair,930,2160,11467
2768000400,640000.0,4,2.0,2360,6000,2.0,NO,Good,8 Good,2360,1730,4700
7895500070,240000.0,4,1.0,1220,8075,1.0,NO,Fair,7 Average,890,1290,7800
2078500320,605000.0,4,2.5,2620,7553,2.0,NO,Average,8 Good,2620,2620,11884
7766200013,775000.0,4,2.25,4220,24186,1.0,NO,Average,8 Good,2600,2410,30617
7203220400,861990.0,5,2.75,3595,5639,2.0,NO,Average,9 Better,3595,3625,5639
9270200160,685000.0,3,1.0,1570,2280,2.0,NO,Average,7 Average,1570,1580,2640
1432701230,309000.0,3,1.0,1280,9656,1.0,NO,Good,6 Low Average,920,1340,8808
8035350320,488000.0,3,2.5,3160,13603,2.0,NO,Average,8 Good,3160,3050,9232
8945200830,210490.0,3,1.0,990,8528,1.0,NO,Average,6 Low Average,990,1228,8840
4178300310,785000.0,4,2.5,2290,13416,2.0,NO,Good,9 Better,2290,2680,13685
9215400105,450000.0,3,1.75,1250,5963,1.0,NO,Good,7 Average,1250,970,5100
822039084,1350000.0,3,2.5,2753,65005,1.0,YES,Very Good,9 Better,2165,2680,72513
5245600105,228000.0,3,1.0,1190,9199,1.0,NO,Average,7 Average,1190,1190,9364
7231300125,345000.0,5,2.5,3150,9134,1.0,NO,Good,8 Good,1640,1990,9133
7518505990,600000.0,3,1.75,1410,4080,1.0,NO,Good,7 Average,1000,1410,4080
3626039271,585000.0,2,1.75,1980,8550,1.0,NO,Average,7 Average,990,1480,6738
4217401195,920000.0,5,2.25,2730,6000,1.5,NO,Average,8 Good,2130,2730,6000
9478500640,292500.0,4,2.5,2250,4495,2.0,NO,Average,7 Average,2250,2250,4500
2799800710,301000.0,3,2.5,2420,4750,2.0,NO,Average,8 Good,2420,2690,4750
7922800400,951000.0,5,3.25,3250,14342,2.0,NO,Good,8 Good,3250,2960,11044
8079040320,430000.0,4,3.0,1850,9976,2.0,NO,Average,8 Good,1850,2270,8542
9558200045,289000.0,3,1.75,1260,8400,1.0,NO,Average,7 Average,1260,1290,8750
9528102996,549000.0,3,1.75,1540,1044,3.0,NO,Average,8 Good,1540,1580,3090
1189001180,425000.0,3,2.25,1660,6000,1.0,NO,Average,7 Average,1110,1440,4080
3253500160,317625.0,3,2.75,2770,3809,1.5,NO,Very Good,7 Average,1770,1440,4000
3717000160,287000.0,4,2.5,2240,4648,2.0,NO,Average,7 Average,2240,2221,4557
1274500060,204000.0,3,1.0,1000,12070,1.0,NO,Good,7 Average,1000,1010,12635
1802000060,1330000.0,5,2.25,3200,20158,1.0,NO,Average,8 Good,1600,3390,20158
1525059190,1040000.0,5,3.25,4770,50094,1.0,NO,Good,11 Excellent,3070,3530,38917
1049000060,325000.0,3,2.0,1260,5612,1.0,NO,Good,7 Average,1260,1640,4745
8820901275,571000.0,4,2.0,2750,7807,1.5,NO,Very Good,7 Average,2250,1510,7807
5416510140,360000.0,4,2.5,2380,5000,2.0,NO,Average,8 Good,2380,2420,5000
3444100400,349000.0,3,1.75,1790,50529,1.0,NO,Very Good,7 Average,1090,1940,50529
3276920270,832500.0,4,4.0,3430,35102,2.0,NO,Good,10 Very Good,2390,3240,35020
4036801170,380000.0,4,1.75,1760,7300,1.0,NO,Average,7 Average,880,1680,7500
2391600320,480000.0,3,1.0,1040,5060,1.0,NO,Average,7 Average,1040,890,5060
6300000287,410000.0,3,1.0,1410,5060,1.0,NO,Good,7 Average,910,1130,5693
1531000030,720000.0,4,2.5,3450,39683,2.0,NO,Average,10 Very Good,3450,3350,39750
5104520400,390000.0,3,2.5,2350,5100,2.0,NO,Average,8 Good,2350,2350,5363
7437100340,360000.0,4,2.5,1900,5889,2.0,NO,Average,7 Average,1900,1870,6405
9418400240,355000.0,2,1.0,2020,6720,1.0,NO,Average,7 Average,1010,1720,6720
1523059105,356000.0,3,1.5,1680,8712,1.0,NO,Average,8 Good,1680,1850,8797
1133000671,315000.0,3,1.0,960,6634,1.0,NO,Average,6 Low Average,960,1570,7203
4232902595,940000.0,3,1.5,2140,3600,2.0,NO,Average,9 Better,1900,2020,4800
2599001200,305000.0,5,2.25,2660,8400,1.5,NO,Very Good,7 Average,2660,1590,8165
1332700270,215000.0,2,2.25,1610,2040,2.0,NO,Good,7 Average,1610,1950,2025
3869900162,335000.0,2,1.75,1030,1066,2.0,NO,Average,7 Average,765,1030,1106
2791500270,243500.0,4,2.5,1980,7403,2.0,NO,Average,7 Average,1980,1980,7510
5036300431,1100000.0,5,2.75,3520,6353,2.0,NO,Good,10 Very Good,3520,2520,6250
4168000060,153000.0,3,1.0,1200,10500,1.0,NO,Average,7 Average,1200,1350,10500
6021501535,430000.0,3,1.5,1580,5000,1.0,NO,Average,8 Good,1290,1570,4500
6021501535,700000.0,3,1.5,1580,5000,1.0,NO,Average,8 Good,1290,1570,4500
1483300570,905000.0,4,2.5,3300,10250,1.0,NO,Average,7 Average,2390,1950,6045
3422049190,247500.0,3,1.75,1960,15681,1.0,NO,Average,7 Average,1960,1750,15616
1099611230,199000.0,4,1.5,1160,6400,1.0,NO,Good,7 Average,1160,1160,6400
722079104,314000.0,3,1.75,1810,41800,1.0,NO,Very Good,7 Average,1210,1650,135036
7338200240,437500.0,3,2.5,2320,36847,2.0,NO,Average,9 Better,2320,2550,35065
1952200240,850830.0,3,2.5,2070,13241,1.5,NO,Very Good,9 Better,1270,2200,4500
5200100125,555000.0,3,2.0,1980,3478,1.5,NO,Good,7 Average,1440,1610,3478
7214720075,699950.0,3,2.25,2190,107593,2.0,NO,Good,8 Good,2190,2570,47777
2450000295,1090000.0,3,2.5,2920,8113,2.0,NO,Average,8 Good,2920,2370,8113
6197800045,290000.0,3,1.0,1210,33919,1.0,NO,Average,7 Average,1210,1640,14910
546000875,460000.0,3,1.0,1670,4005,1.5,NO,Good,7 Average,1170,1240,4005
3530510041,188500.0,2,1.75,1240,2493,1.0,NO,Good,8 Good,1240,1270,4966
1853000400,680000.0,4,2.5,3140,28037,2.0,NO,Good,10 Very Good,3140,2990,35001
3134100116,470000.0,5,1.75,2030,12342,2.0,NO,Good,7 Average,2030,2500,9433
9545230140,597750.0,4,2.5,2310,9624,2.0,NO,Average,8 Good,2310,1940,9636
3362400511,570000.0,3,1.75,1260,3328,1.0,NO,Very Good,6 Low Average,700,1380,3536
2525310310,272500.0,3,1.75,1540,12600,1.0,NO,Good,7 Average,1160,1540,11656
6126500060,329950.0,3,1.75,2080,5969,1.0,NO,Average,7 Average,1080,2090,5500
8961960160,480000.0,4,2.5,3230,16171,2.0,NO,Average,9 Better,2520,2640,8517
3626039325,740500.0,3,3.5,4380,6350,2.0,NO,Average,8 Good,2780,1830,6350
3362400431,518500.0,3,3.5,1590,1102,3.0,NO,Average,8 Good,1590,1620,3166
4060000240,205425.0,2,1.0,880,6780,1.0,NO,Good,6 Low Average,880,1190,6780
1695900060,535000.0,4,1.0,1610,2982,1.5,NO,Good,7 Average,1610,1610,4040
7278700070,660000.0,3,2.5,2400,6474,1.0,NO,Average,8 Good,1560,2340,10856
6675500070,391500.0,3,2.0,1450,9132,1.0,NO,Average,7 Average,1450,1580,9104
3626039187,395000.0,2,1.0,770,6000,1.0,NO,Average,6 Low Average,770,1710,6000
3275860240,770000.0,3,2.25,2910,10204,2.0,NO,Average,9 Better,2910,2700,13992
4389200955,1450000.0,4,2.75,2750,17789,1.5,NO,Average,8 Good,1980,3060,11275
8732020310,260000.0,4,2.25,2160,8811,1.0,NO,Average,8 Good,1360,2090,8400
2331300505,822500.0,5,3.5,2320,4960,2.0,NO,Very Good,7 Average,1720,1700,4960
7853210060,430000.0,4,2.5,2070,4310,2.0,NO,Average,7 Average,2070,1970,3748
3668000070,212000.0,3,1.75,1060,7875,1.0,NO,Good,7 Average,1060,1420,7680
9545240070,660500.0,4,2.25,2010,9603,1.0,NO,Average,8 Good,1440,2060,9793
1243100136,784000.0,3,3.5,3950,111078,1.5,NO,Average,9 Better,2460,2480,88500
8929000270,453246.0,3,2.5,2010,2287,2.0,NO,Average,8 Good,1390,1690,1662
2767602356,675000.0,4,3.5,2140,2278,3.0,NO,Average,9 Better,2140,1540,2285
921049315,199000.0,3,1.75,1320,17390,1.0,NO,Good,7 Average,1320,1550,19265
3655000070,220000.0,4,1.75,2020,7840,1.0,NO,Average,7 Average,1010,1750,8140
4027700812,452000.0,4,2.25,2590,10002,1.0,NO,Good,8 Good,1340,1550,10436
3992700335,382500.0,2,1.0,1190,4440,1.0,NO,Average,6 Low Average,1190,1060,5715
2767603505,519950.0,3,2.25,1170,1249,3.0,NO,Average,8 Good,1170,1350,1310
4232901525,665000.0,2,1.0,1110,3200,1.0,NO,Average,7 Average,1110,1170,3600
1777500060,527700.0,5,2.5,2820,9375,1.0,NO,Good,8 Good,1550,2820,9375
1432900240,205000.0,3,1.0,1610,8579,1.0,NO,Good,7 Average,1010,1610,8579
6140100875,420000.0,3,1.0,1060,8097,1.0,NO,Good,7 Average,940,1560,7940
6071600370,500000.0,4,2.25,2030,8517,1.0,NO,Good,8 Good,1380,2230,8824
1526069017,921500.0,4,2.5,3670,315374,2.0,NO,Good,9 Better,3670,2840,87991
809001525,890000.0,4,1.0,2550,4000,2.0,NO,Average,8 Good,2370,2200,4000
3224079105,430000.0,2,2.5,2420,60984,2.0,NO,Average,7 Average,2420,1940,193842
8075400570,258000.0,5,2.0,2260,12500,1.0,NO,Good,8 Good,1130,1360,18000
1994200024,511000.0,3,1.0,1430,3455,1.0,NO,Average,7 Average,980,1450,4599
3362900810,532170.0,3,2.0,1360,3090,2.0,NO,Average,8 Good,1360,1500,3090
1324300398,560000.0,3,1.0,1110,5000,1.5,NO,Average,7 Average,1110,1420,5000
7855801670,2250000.0,4,3.25,5180,19850,2.0,NO,Average,12 Luxury,3540,3160,9750
7920100045,350000.0,1,1.0,700,5100,1.0,NO,Average,7 Average,700,1010,5100
8960000030,215000.0,3,1.0,1180,7669,1.0,NO,Good,7 Average,1180,1190,7669
6388930390,650000.0,5,3.5,3960,25245,2.0,NO,Average,9 Better,2500,2640,13675
8731900200,320000.0,4,2.75,2640,7500,1.0,NO,Average,8 Good,1620,1980,7875
8029200135,247000.0,3,2.0,1270,7198,1.5,NO,Average,7 Average,1270,1160,7198
1081200350,320000.0,4,1.75,1760,11180,1.0,NO,Good,8 Good,1760,1730,11180
84000105,255000.0,5,2.25,2060,8632,1.0,NO,Average,7 Average,1030,1010,11680
3756500060,438000.0,3,1.75,1780,9660,1.0,NO,Average,7 Average,1780,1200,9660
7215720160,900000.0,3,2.5,3400,16603,2.0,NO,Average,10 Very Good,3400,3400,12601
3574800520,441000.0,3,2.75,1910,7280,1.0,NO,Average,7 Average,1160,1710,8152
2617300160,420000.0,3,2.0,2020,38332,1.0,NO,Good,7 Average,1010,2110,36590
2558660270,370000.0,3,1.75,1580,7000,1.0,NO,Average,7 Average,1180,1640,7500
2009000370,269950.0,2,1.75,1340,7250,1.0,NO,Very Good,5 Fair,700,1830,9750
1836980160,807100.0,4,2.5,2680,4499,2.0,NO,Average,9 Better,2680,2920,4500
3261020370,653000.0,3,2.5,2680,9750,1.0,NO,Good,8 Good,1610,2480,8750
4330600435,284000.0,3,1.75,1560,21000,1.0,NO,Average,7 Average,1560,1070,7920
9542800700,272000.0,3,1.75,2160,7140,1.0,NO,Good,7 Average,1670,1930,7350
1762600070,917500.0,4,2.5,3880,35003,2.0,NO,Average,10 Very Good,2570,3740,35230
1687900520,673000.0,4,2.25,2590,8190,2.0,NO,Good,8 Good,2590,2260,8335
7234600798,425000.0,3,2.5,1120,1100,2.0,NO,Average,8 Good,820,1590,1795
3881900445,399950.0,5,2.75,1970,5400,1.0,NO,Average,7 Average,1320,1280,2150
2254502445,385000.0,3,1.0,1220,4800,1.0,NO,Average,6 Low Average,1220,1200,4800
5437810320,269950.0,3,1.5,1950,7560,1.0,NO,Good,7 Average,1320,1950,8941
3830630310,260000.0,3,2.5,1670,5797,2.0,NO,Average,7 Average,1670,1670,6183
8123100045,470000.0,4,3.0,2380,5125,1.5,NO,Good,7 Average,1680,1410,5375
6661200320,163500.0,2,1.5,1050,3419,2.0,NO,Average,7 Average,1050,1050,3417
11510310,835000.0,4,2.75,3130,13412,2.0,NO,Average,9 Better,2140,2260,9984
825059270,1100000.0,5,3.0,4090,12850,1.0,NO,Good,10 Very Good,2090,2540,10270
8731951370,269000.0,4,1.75,1490,10000,1.0,NO,Good,8 Good,1100,2190,8910
1954440060,560000.0,3,2.5,1900,8744,2.0,NO,Average,8 Good,1900,2030,8744
1115810060,585188.0,3,2.25,2230,10026,1.0,NO,Average,8 Good,1430,2230,9340
9477200200,305000.0,3,1.75,1650,9480,1.0,NO,Average,7 Average,1220,1540,8400
1432600560,166950.0,3,1.0,1190,8820,1.0,NO,Average,6 Low Average,1190,1230,7980
2287000060,799000.0,3,2.5,2140,9897,1.0,NO,Good,8 Good,2140,2680,10083
3663500060,400000.0,3,2.5,2180,7508,1.0,NO,Good,7 Average,1420,1900,7818
3996900125,230000.0,3,1.0,1060,10228,1.0,NO,Average,7 Average,1060,1570,10228
7796450200,256883.0,3,2.5,1690,5025,2.0,NO,Average,8 Good,1690,2550,5001
7549802535,423000.0,4,2.0,1970,6480,1.5,NO,Very Good,7 Average,1130,1500,6480
2824079053,440000.0,3,2.5,1910,66211,2.0,NO,Average,7 Average,1910,2330,67268
1222069094,385000.0,3,1.75,1350,155073,1.0,NO,Good,7 Average,1350,1560,50965
2222059065,297000.0,3,2.5,1940,14952,2.0,NO,Average,8 Good,1940,2030,10450
7551300060,470000.0,3,1.0,1010,5000,1.0,NO,Average,7 Average,1010,1680,5000
100600550,226500.0,3,1.5,1300,7370,1.0,NO,Good,7 Average,900,1430,7500
3211100860,274250.0,3,1.0,910,8450,1.0,NO,Good,6 Low Average,910,1400,8040
3456000310,840000.0,4,1.75,2480,11010,1.0,NO,Good,9 Better,1630,2770,10744
9526600140,677900.0,3,2.5,2440,4587,2.0,NO,Average,8 Good,2440,2750,4587
7465900060,425000.0,3,1.0,1010,5864,1.0,NO,Average,7 Average,1010,1290,5000
1222000055,180250.0,2,0.75,900,9600,1.0,NO,Average,6 Low Average,900,1250,14280
6300000550,464000.0,6,3.0,2300,3404,2.0,NO,Average,7 Average,1600,1560,1312
1025049114,625504.0,3,2.25,1270,1566,2.0,NO,Average,8 Good,1060,1160,1327
8677300550,592500.0,4,2.5,2240,12032,1.0,NO,Average,9 Better,2240,2520,12368
4014400292,465000.0,3,2.5,2714,17936,2.0,NO,Average,9 Better,2714,2590,18386
1102000196,477000.0,4,2.75,1720,6270,2.0,NO,Average,8 Good,1720,2130,8700
257000138,280000.0,2,1.0,850,16400,1.0,NO,Average,6 Low Average,850,1100,14459
1909600046,445838.0,3,2.5,2250,5692,2.0,NO,Average,8 Good,2250,1320,5390
1250202145,1070000.0,2,2.25,3900,14864,1.0,NO,Average,8 Good,1950,2580,5184
7611200125,467000.0,2,1.5,1320,10800,1.0,NO,Good,8 Good,1320,2120,12040
5611500140,686000.0,4,2.5,2760,6440,2.0,NO,Average,10 Very Good,2760,3070,8127
7138000260,279950.0,3,2.0,1750,9750,1.0,NO,Average,7 Average,1350,1900,10125
626059335,527000.0,4,2.25,2330,19436,2.0,NO,Average,8 Good,2330,1910,10055
1922059282,325000.0,3,2.25,2220,16020,1.0,NO,Good,8 Good,1780,2080,9583
705700390,328000.0,3,2.25,2020,8379,2.0,NO,Average,7 Average,2020,2020,8031
7454001200,390000.0,3,2.25,1250,7500,1.0,NO,Very Good,7 Average,1250,1280,7392
722059070,235000.0,3,1.0,1430,15246,1.0,NO,Good,7 Average,980,1960,13068
7202340400,516500.0,3,2.5,1480,4729,2.0,NO,Average,7 Average,1480,2250,4729
8096000060,655000.0,2,1.75,1450,15798,2.0,YES,Average,7 Average,1230,2030,13193
2424000060,500000.0,4,2.75,2280,15347,1.0,NO,Very Good,7 Average,2280,2280,15347
9264902050,315000.0,6,2.75,2940,7350,1.0,NO,Average,8 Good,1780,2120,8236
943100260,213000.0,2,1.0,1000,10200,1.0,NO,Average,6 Low Average,1000,1150,13702
3677400445,475000.0,3,1.5,2480,5280,1.5,NO,Very Good,7 Average,1620,2090,4800
1762600320,1030000.0,5,4.0,3760,28040,2.0,NO,Average,10 Very Good,3760,3430,35096
4058000060,416000.0,3,2.0,2220,94300,1.0,NO,Very Good,7 Average,1640,2070,80100
7228500560,410000.0,4,1.0,1970,4740,1.5,NO,Average,7 Average,1670,1510,4740
326069104,800000.0,3,3.5,3830,221284,2.0,NO,Average,10 Very Good,3530,2920,148539
5152100060,472000.0,6,2.5,4410,14034,1.0,NO,Good,9 Better,2350,2600,13988
3584000310,225000.0,3,1.75,1430,8505,1.0,NO,Good,7 Average,1430,1190,8640
8150100045,210000.0,2,1.0,830,6000,1.0,NO,Average,6 Low Average,830,830,4960
1868901275,455000.0,2,1.0,1430,5000,1.5,NO,Fair,7 Average,1430,1450,3750
6131600075,225000.0,3,1.0,1300,8316,1.0,NO,Good,6 Low Average,1300,1260,8316
9468200125,480000.0,2,1.0,1030,3060,1.0,NO,Good,7 Average,790,1390,3060
8029510030,363000.0,3,2.5,2740,11872,2.0,NO,Average,9 Better,2740,2570,10377
2025069065,2400000.0,4,2.5,3650,8354,1.0,YES,Average,9 Better,1830,3120,18841
7899800890,181000.0,2,1.5,720,5120,1.0,NO,Average,6 Low Average,720,1150,2566
3021059276,250000.0,4,2.0,2010,7312,1.0,NO,Good,7 Average,2010,2010,7650
3797001895,481000.0,3,1.75,1560,3000,1.0,NO,Good,6 Low Average,770,1390,3000
3832710960,260000.0,3,2.0,1810,7209,1.0,NO,Good,7 Average,1240,1750,7209
1310430400,455000.0,4,2.5,3360,7685,2.0,NO,Average,9 Better,3360,3060,6567
1422300030,415000.0,3,2.25,1510,36224,2.0,NO,Average,8 Good,1510,1730,36224
1105000588,349500.0,3,1.0,1400,3538,1.0,NO,Average,7 Average,800,1620,6331
3830630060,245000.0,3,2.5,1730,7442,2.0,NO,Average,7 Average,1730,1630,6458
5101404898,592500.0,2,2.0,1420,9191,1.5,NO,Very Good,7 Average,1420,1420,6816
7972601890,385000.0,4,1.75,2360,7620,1.0,NO,Good,7 Average,1180,1910,7620
5127001620,315000.0,3,1.75,1580,11455,1.0,NO,Good,7 Average,1200,1550,10650
9407100800,255000.0,3,1.0,1230,10170,1.0,NO,Average,7 Average,1230,1380,10098
8722101360,780000.0,3,1.0,1660,4400,1.5,NO,Average,8 Good,1460,1660,4400
8644000060,237000.0,3,1.75,1270,8470,1.0,NO,Good,7 Average,1270,1600,8470
3325069129,525000.0,3,2.25,2100,40510,2.0,NO,Average,10 Very Good,1320,2380,33450
1400300055,425000.0,2,1.0,770,5040,1.0,NO,Average,5 Fair,770,1330,2580
2123039032,369900.0,1,0.75,760,10079,1.0,YES,Very Good,5 Fair,760,1230,14267
8078560140,290000.0,4,2.5,1700,7280,2.0,NO,Good,7 Average,1700,1950,7475
3438500192,285000.0,3,1.0,1120,10701,1.0,NO,Average,7 Average,1120,1130,6350
7974200510,415000.0,2,1.0,1070,4500,1.0,NO,Average,7 Average,1070,1320,4465
2557000400,272500.0,3,2.5,2070,9900,1.0,NO,Average,8 Good,1420,2070,8250
7960900060,2900000.0,4,3.25,5050,20100,1.5,NO,Average,11 Excellent,4750,3890,20060
4054500390,1370000.0,4,4.75,5310,57346,2.0,NO,Good,11 Excellent,5310,4180,47443
1745100140,210000.0,3,1.0,1700,11390,1.0,NO,Good,7 Average,1700,1350,8164
4235400186,331000.0,3,1.75,1080,1306,1.0,NO,Average,7 Average,580,1440,2225
4215100060,365000.0,3,2.5,2653,4510,2.0,NO,Average,8 Good,2653,2653,4927
9189700045,450000.0,3,2.0,2290,16258,1.0,NO,Very Good,8 Good,2290,1660,10530
1126049053,770000.0,4,2.75,3820,26300,2.0,NO,Average,9 Better,2850,1860,12136
2022069200,455000.0,4,2.5,2210,49375,1.0,NO,Average,8 Good,2210,2670,49385
9412900055,405000.0,3,1.75,2390,6000,1.0,NO,Average,6 Low Average,1240,2020,6000
1722059235,304900.0,4,1.75,2600,11325,1.0,NO,Good,7 Average,1610,1720,11088
6874200960,170000.0,2,1.0,860,5265,1.0,NO,Average,6 Low Average,860,1650,8775
7424700045,2050000.0,5,3.0,3830,8480,2.0,NO,Very Good,9 Better,2630,3050,7556
7202360350,780000.0,4,2.5,3500,7048,2.0,NO,Average,9 Better,3500,3920,7864
5634500392,330000.0,3,3.0,2420,13959,1.0,NO,Good,8 Good,1740,2570,13300
1509500060,370000.0,4,2.5,2720,8666,2.0,NO,Average,9 Better,2720,2410,8100
7214810350,467000.0,5,2.25,2500,13500,1.0,NO,Average,7 Average,1850,2300,9750
9552700140,675000.0,5,2.25,2900,10300,1.0,NO,Average,8 Good,1450,2310,10300
2200500350,500000.0,2,1.0,1640,14100,1.0,NO,Good,7 Average,1140,1520,13527
6619910140,630000.0,4,1.75,2950,9025,1.0,NO,Good,8 Good,1780,2120,9600
1115450240,360000.0,4,2.5,2160,9528,2.0,NO,Average,9 Better,2160,2280,9937
6073240060,580000.0,4,3.0,3280,11060,2.0,NO,Average,8 Good,2270,2320,11004
9297300045,550000.0,3,2.0,1970,4166,2.0,NO,Very Good,8 Good,1270,2390,4166
9510920070,879000.0,4,2.5,3360,22111,2.0,NO,Average,10 Very Good,3360,3150,11374
600000152,404000.0,3,1.5,2030,8880,1.0,NO,Average,7 Average,1330,2140,5592
1840000030,267500.0,3,1.75,1590,11914,1.0,NO,Average,7 Average,1090,1630,9052
3225069065,3080000.0,4,5.0,4550,18641,1.0,YES,Average,10 Very Good,2600,4550,19508
3260800030,335000.0,3,2.5,2440,7632,2.0,NO,Average,8 Good,2440,2510,7903
5104530560,208633.0,3,2.5,2040,3810,2.0,NO,Average,8 Good,2040,2370,4590
4330600350,315000.0,3,2.25,2200,8750,1.0,NO,Good,7 Average,1120,1460,10139
5016001535,725000.0,3,1.75,1920,3300,1.0,NO,Good,8 Good,960,1740,4000
7280300196,550000.0,4,2.75,1800,7750,1.0,NO,Good,8 Good,1400,1800,8275
8651520400,610750.0,4,2.25,2180,7297,2.0,NO,Average,8 Good,2180,2250,9781
7171200445,550700.0,2,1.0,1010,5000,1.5,NO,Good,6 Low Average,1010,1460,5000
3416600800,834000.0,4,2.5,2370,4000,1.5,NO,Very Good,8 Good,1980,2440,5750
7994700030,201000.0,5,1.75,1660,78408,1.5,NO,Average,6 Low Average,1660,1660,78408
1860600135,2380000.0,5,2.5,3650,9050,2.0,NO,Very Good,10 Very Good,3370,2880,5400
4139480200,1380000.0,4,3.25,4290,12103,1.0,NO,Average,11 Excellent,2690,3860,11244
4139480200,1400000.0,4,3.25,4290,12103,1.0,NO,Average,11 Excellent,2690,3860,11244
1328320800,305000.0,4,2.25,1950,7700,1.0,NO,Average,8 Good,1350,2150,7350
7771300125,487000.0,3,2.0,2590,14052,1.0,NO,Very Good,8 Good,1720,1570,8162
3422059208,390000.0,3,2.5,1930,64904,1.0,NO,Good,8 Good,1930,2350,57500
9521101455,548000.0,2,1.0,1470,3864,1.0,NO,Good,7 Average,1170,1570,3864
4337000335,268750.0,4,1.0,800,8775,1.0,NO,Average,6 Low Average,800,1310,8775
325059286,819900.0,5,2.75,3150,7119,2.0,NO,Average,9 Better,3150,1560,8384
2597650240,520000.0,3,2.25,2030,16200,2.0,NO,Average,8 Good,2030,2660,17958
3353400435,230000.0,3,2.0,1450,11204,1.0,NO,Average,7 Average,1450,1520,9518
7972000240,240000.0,3,1.75,1510,10248,1.0,NO,Average,7 Average,1510,1510,9753
7520000520,240500.0,2,1.0,1240,12092,1.0,NO,Average,6 Low Average,960,1820,7460
3530210260,274975.0,3,2.5,3030,45004,2.0,NO,Average,9 Better,3030,3080,35781
1959700550,740000.0,4,2.0,2050,4400,1.5,NO,Good,9 Better,2050,2320,5500
1665400045,186375.0,3,1.0,1000,7636,1.0,NO,Fair,7 Average,1000,1150,7600
9542850320,790000.0,3,2.25,2370,10289,1.0,NO,Good,9 Better,1590,2500,10004
2946001550,279000.0,6,1.75,2240,11180,2.0,NO,Good,7 Average,2240,1590,7955
8078490390,295000.0,3,2.0,1810,10530,1.0,NO,Average,8 Good,1810,1910,10450
9550201550,640000.0,2,1.0,1070,5000,1.0,NO,Average,7 Average,1070,1710,5000
191100045,940000.0,4,2.0,2490,9525,2.0,NO,Very Good,9 Better,2490,2770,9525
